value,timestamp
-0.9274829745213998,2017-07-01 00:00:00
-0.9717324375699861,2017-07-01 12:00:00
-0.9032456636211592,2017-07-02 00:00:00
-0.31516824323194537,2017-07-02 12:00:00
-0.8999919205808993,2017-07-03 00:00:00
-0.7873488910165167,2017-07-03 12:00:00
-0.9192899104464243,2017-07-04 00:00:00
-1.0381462394410181,2017-07-04 12:00:00
-0.7878596142854343,2017-07-05 00:00:00
-0.9339684360642466,2017-07-05 12:00:00
,2017-07-06 00:00:00
-0.7685883653678046,2017-07-06 12:00:00
-0.3450362935670781,2017-07-07 00:00:00
-0.7434818734011985,2017-07-07 12:00:00
-0.7286608362408392,2017-07-08 00:00:00
-0.8013111847734028,2017-07-08 12:00:00
-0.8351869389427375,2017-07-09 00:00:00
-0.7106925643503841,2017-07-09 12:00:00
0.27633116191895724,2017-07-10 00:00:00
-0.7318667152252776,2017-07-10 12:00:00
-0.6159457913461892,2017-07-11 00:00:00
-0.6656130618131877,2017-07-11 12:00:00
-0.6522739544858841,2017-07-12 00:00:00
-0.6381801285120146,2017-07-12 12:00:00
-0.6430280731394792,2017-07-13 00:00:00
-0.5560445200281406,2017-07-13 12:00:00
-0.552152382415952,2017-07-14 00:00:00
-0.5193642048381693,2017-07-14 12:00:00
-0.47257896683869915,2017-07-15 00:00:00
-0.6681877413647852,2017-07-15 12:00:00
-0.39258140555420756,2017-07-16 00:00:00
-0.5097281346103527,2017-07-16 12:00:00
-0.4873187191477953,2017-07-17 00:00:00
-0.47466330474491875,2017-07-17 12:00:00
-0.4440438314485781,2017-07-18 00:00:00
-0.39014457793432145,2017-07-18 12:00:00
-0.8094021703579231,2017-07-19 00:00:00
-0.385011188449235,2017-07-19 12:00:00
-0.3845919712523438,2017-07-20 00:00:00
-0.3890128497035784,2017-07-20 12:00:00
-0.3729083055934095,2017-07-21 00:00:00
-0.36643267366467147,2017-07-21 12:00:00
-0.2991643357540237,2017-07-22 00:00:00
-0.3338190817232376,2017-07-22 12:00:00
-0.2958426194791792,2017-07-23 00:00:00
0.8375752905336549,2017-07-23 12:00:00
-0.26474919022507987,2017-07-24 00:00:00
-0.2342754602200925,2017-07-24 12:00:00
-0.24727597206286014,2017-07-25 00:00:00
-0.20360414318371542,2017-07-25 12:00:00
-0.18747681687156237,2017-07-26 00:00:00
-0.17866451021351465,2017-07-26 12:00:00
0.1478584824545448,2017-07-27 00:00:00
-0.13586418996787503,2017-07-27 12:00:00
-0.12489502762105953,2017-07-28 00:00:00
-0.10648937444099639,2017-07-28 12:00:00
-0.08405708038428052,2017-07-29 00:00:00
-0.078816203407498,2017-07-29 12:00:00
,2017-07-30 00:00:00
-0.049553272012882836,2017-07-30 12:00:00
-0.03160818185914505,2017-07-31 00:00:00
-0.014737381580453122,2017-07-31 12:00:00
0.0,2017-08-01 00:00:00
,2017-08-01 12:00:00
,2017-08-02 00:00:00
0.045557874391461646,2017-08-02 12:00:00
0.25269399640163326,2017-08-03 00:00:00
0.06886305994906101,2017-08-03 12:00:00
0.09785049943980492,2017-08-04 00:00:00
0.11098241817538121,2017-08-04 12:00:00
0.11469701506644629,2017-08-05 00:00:00
0.15788653837909386,2017-08-05 12:00:00
0.1558116843432409,2017-08-06 00:00:00
0.21392587852598785,2017-08-06 12:00:00
0.22259942197188978,2017-08-07 00:00:00
0.231718952779316,2017-08-07 12:00:00
0.25602643427177435,2017-08-08 00:00:00
0.2417820663370007,2017-08-08 12:00:00
0.3089508860538498,2017-08-09 00:00:00
0.2146224165396023,2017-08-09 12:00:00
0.26182138637178176,2017-08-10 00:00:00
0.3709880651112073,2017-08-10 12:00:00
0.30636192765371356,2017-08-11 00:00:00
0.33381226674579273,2017-08-11 12:00:00
0.3829318163429764,2017-08-12 00:00:00
0.3872435954258664,2017-08-12 12:00:00
0.38887262412352236,2017-08-13 00:00:00
0.6568964851697501,2017-08-13 12:00:00
0.730330232863043,2017-08-14 00:00:00
0.38716774737947557,2017-08-14 12:00:00
0.4958427953902137,2017-08-15 00:00:00
0.5170369834131424,2017-08-15 12:00:00
0.4191345391045387,2017-08-16 00:00:00
0.47723476916139984,2017-08-16 12:00:00
0.5845947470372068,2017-08-17 00:00:00
0.5048734481205603,2017-08-17 12:00:00
0.47090382490090893,2017-08-18 00:00:00
0.6546329133328441,2017-08-18 12:00:00
0.5479546863123261,2017-08-19 00:00:00
0.674697914351752,2017-08-19 12:00:00
,2017-08-20 00:00:00
0.7037228828570317,2017-08-20 12:00:00
0.6522847867297744,2017-08-21 00:00:00
0.686639334675792,2017-08-21 12:00:00
0.6663309995099942,2017-08-22 00:00:00
0.6417617634234023,2017-08-22 12:00:00
0.787257459366435,2017-08-23 00:00:00
0.8441271922472416,2017-08-23 12:00:00
0.7473163313209731,2017-08-24 00:00:00
0.7069725234839823,2017-08-24 12:00:00
0.850593079503021,2017-08-25 00:00:00
,2017-08-25 12:00:00
0.7525317310114205,2017-08-26 00:00:00
0.7600890396207998,2017-08-26 12:00:00
0.8050976411357635,2017-08-27 00:00:00
-0.7548667706092522,2017-08-27 12:00:00
0.8780442955101229,2017-08-28 00:00:00
0.9084629844136748,2017-08-28 12:00:00
0.757508399461525,2017-08-29 00:00:00
0.2620022180198782,2017-08-29 12:00:00
0.9065326624952643,2017-08-30 00:00:00
1.1667334995874805,2017-08-30 12:00:00
0.8658791148850216,2017-08-31 00:00:00
-0.4447794409301984,2017-08-31 12:00:00
0.9675340716339482,2017-09-01 00:00:00
